,Date,Day,Difference
772,2021-10-31,Sunday,-0.688834145
746,2021-11-26,Friday,-0.5594733853000005
739,2021-12-03,Friday,-0.5025608490000004
729,2021-12-13,Monday,-0.46296868209999964
690,2022-01-21,Friday,-0.4216803523000001
737,2021-12-05,Sunday,-0.4170266293
714,2021-12-28,Tuesday,-0.39470518489999984
751,2021-11-21,Sunday,-0.3616771907999996
768,2021-11-04,Thursday,-0.35223652380000026
937,2021-05-19,Wednesday,-0.3458536099999999
