slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
bitcoin,BTC,Bitcoin,10/31/2022,1,19431.1049459172,20988.3944704236,18319.8226296141,20495.7742320325,957903424925.88,393413045572.67,0.8153992967857808,2668.571840809498
bitcoin,BTC,Bitcoin,09/30/2022,1,20050.4986698419,22673.8197662856,18290.315188225,19431.7894465994,1123272250383.71,372414733487.45,0.26040220514139956,4383.5045780606015
bitcoin,BTC,Bitcoin,08/31/2022,1,23336.7180518604,25135.5903960686,19600.7850348256,20049.7631893726,894192654541.42,383710102294.98,0.08111905030860353,5534.805361243001
bitcoin,BTC,Bitcoin,07/31/2022,1,19820.4704741998,24572.5794217469,18966.9506341661,23336.8956049843,927582363389.69,445941074223.04,0.7795637450163945,5605.628787580801
bitcoin,BTC,Bitcoin,06/30/2022,1,31792.5538087129,31957.2843170438,17708.6237125896,19784.7264946249,923939211678.26,377526215552.49,0.14570511851382728,14248.660604454199
bitcoin,BTC,Bitcoin,05/31/2022,1,37713.265089741,39902.9502136511,26350.4901742248,31792.3099432754,1089422059065.44,605797887876.49,0.4015374148471543,13552.4600394263
bitcoin,BTC,Bitcoin,04/30/2022,1,45554.1638120546,47313.4768544721,37697.9427790922,37714.875545299,830115888651.02,717596901508.72,0.001760980313112106,9615.534075379903
bitcoin,BTC,Bitcoin,03/31/2022,1,43194.5042113042,48086.8367491568,37260.2017138385,45538.6769223388,830943838434.68,865202119215.74,0.7646397224525,10826.6350353183
bitcoin,BTC,Bitcoin,02/28/2022,1,38481.7653685119,45661.1731433747,34459.2177282867,43193.2340330233,671335993322.1,819414782676.49,0.7796867583469121,11201.955415088
bitcoin,BTC,Bitcoin,01/31/2022,1,46311.744663041,47881.4062331606,33184.0595656615,38483.126309273,923979037677.66,729073641687.68,0.36054580894724125,14697.3466674991
bitcoin,BTC,Bitcoin,12/31/2021,1,56907.9667338266,59041.6852434855,42874.6168583905,46306.4461226996,957047184721.19,875939356678.79,0.21227282414868878,16167.068385095
bitcoin,BTC,Bitcoin,11/30/2021,1,61320.4494915952,68789.6259389221,53569.7639630968,57005.4254735998,1053270271384.16,1076689232562.09,0.22573539207911908,15219.861975825297
bitcoin,BTC,Bitcoin,10/31/2021,1,43816.7406442989,66930.3872709899,43320.0229785376,61318.957766606,1153077903531.53,1156485845063.1,0.7623319388520512,23610.3642924523
bitcoin,BTC,Bitcoin,09/30/2021,1,47099.77486941,52853.7637963,39787.6097979604,43790.8956254849,1102139678824.68,824619217607.52,0.3063859363691278,13066.1539983396
