timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2023-12-01T00:00:00.000Z";"2023-12-31T23:59:59.999Z";"2023-12-08T21:26:00.000Z";"2023-12-01T00:28:00.000Z";"2781";37718.0096264496;44705.5150094178;37629.3589120492;42265.185654866;721704910476.24;827811209384.42;"2023-12-31T23:59:59.999Z"
"2023-11-01T00:00:00.000Z";"2023-11-30T23:59:59.999Z";"2023-11-24T15:41:00.000Z";"2023-11-03T10:20:00.000Z";"2781";34657.275324496;38415.3381982376;34133.4396153842;37712.7477716325;570863267378.05;737560917365.82;"2023-11-30T23:59:59.999Z"
"2023-10-01T00:00:00.000Z";"2023-10-31T23:59:59.999Z";"2023-10-24T02:27:00.000Z";"2023-10-12T17:36:00.000Z";"2781";26967.3974331494;35150.4334987547;26558.320783999;34667.7793605467;476425634860.31;677047621125.28;"2023-10-31T23:59:59.999Z"
"2023-09-01T00:00:00.000Z";"2023-09-30T23:59:59.999Z";"2023-09-19T15:37:00.000Z";"2023-09-11T20:02:00.000Z";"2781";25934.0208061586;27488.7638021952;24930.2974941684;26967.9163010637;337637313742.31;525885640459.76;"2023-09-30T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-08T21:22:00.000Z";"2023-08-17T21:45:00.000Z";"2781";29230.8724049903;30176.7962374838;25409.1116027686;25931.4728933574;437724169499.52;504957555550.64;"2023-08-31T23:59:59.999Z"
"2023-07-01T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-13T19:32:00.000Z";"2023-07-24T15:11:00.000Z";"2781";30471.8475630488;31814.5148120678;28934.2941602457;29230.110878649;382224489087.03;568365621732.67;"2023-07-31T23:59:59.999Z"
"2023-06-01T00:00:00.000Z";"2023-06-30T23:59:59.999Z";"2023-06-23T16:15:00.000Z";"2023-06-15T11:18:00.000Z";"2781";27218.4123755644;31389.5381281357;24797.1678486154;30477.2512822446;481734214225.81;591758288455.82;"2023-06-30T23:59:59.999Z"
"2023-05-01T00:00:00.000Z";"2023-05-31T23:59:59.999Z";"2023-05-06T00:38:00.000Z";"2023-05-12T19:29:00.000Z";"2781";29227.1039819099;29820.1266220765;25878.428829536;27219.6586081109;443473015482.63;527773175252.01;"2023-05-31T23:59:59.999Z"
"2023-04-01T00:00:00.000Z";"2023-04-30T23:59:59.999Z";"2023-04-14T06:54:00.000Z";"2023-04-24T16:56:00.000Z";"2781";28473.3318011971;31005.6080444729;27070.8494995525;29268.8070431626;531060399718.28;566661285145.37;"2023-04-30T23:59:59.999Z"
"2023-03-01T00:00:00.000Z";"2023-03-31T23:59:59.999Z";"2023-03-30T02:41:00.000Z";"2023-03-10T11:25:00.000Z";"2781";23150.9299581785;29159.9026178662;19628.2543094205;28478.4846056804;883299703607.68;550593053896.62;"2023-03-31T23:59:59.999Z"
"2023-02-01T00:00:00.000Z";"2023-02-28T23:59:59.999Z";"2023-02-16T16:06:00.000Z";"2023-02-13T17:57:00.000Z";"2781";23137.8351361505;25134.1173501961;21460.0885038644;23147.3533899085;723968574896.01;446846764116.35;"2023-02-28T23:59:59.999Z"
"2023-01-01T00:00:00.000Z";"2023-01-31T23:59:59.999Z";"2023-01-29T19:49:00.000Z";"2023-01-01T09:10:00.000Z";"2781";16547.9143978715;23919.8897614092;16521.233430529;23139.2839099123;690928920787.36;446082285297.19;"2023-01-31T23:59:59.999Z"
