timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-11-01T00:00:00.000Z";"2023-11-30T23:59:59.999Z";"2023-11-11T18:02:00.000Z";"2023-11-01T06:06:00.000Z";0.3638871886;0.5022200476;0.3525603284;0.4320897081;3187034746.57;817987026.09;"2023-11-30T23:59:59.999Z"
"2023-10-01T00:00:00.000Z";"2023-10-31T23:59:59.999Z";"2023-10-29T18:41:00.000Z";"2023-10-19T01:47:00.000Z";0.3091571882;0.3881093578;0.2729283316;0.3638793561;1382418398.15;688858324.44;"2023-10-31T23:59:59.999Z"
"2023-09-01T00:00:00.000Z";"2023-09-30T23:59:59.999Z";"2023-09-29T21:20:00.000Z";"2023-09-11T19:41:00.000Z";0.2943490967;0.322948038;0.2662198077;0.3091671567;1045395828.06;585282913.04;"2023-09-30T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-01T00:55:00.000Z";"2023-08-17T21:47:00.000Z";0.3822975815;0.3868247032;0.2844701482;0.294340675;1394553356.4;557214969.19;"2023-08-31T23:59:59.999Z"
"2023-07-01T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-14T00:52:00.000Z";"2023-07-07T00:04:00.000Z";0.3847728027;0.4452170721;0.3701354425;0.382287941;1431430260.27;723707531.3;"2023-07-31T23:59:59.999Z"
"2023-06-01T00:00:00.000Z";"2023-06-30T23:59:59.999Z";"2023-06-05T14:06:00.000Z";"2023-06-10T04:28:00.000Z";0.4634781019;0.5313593543;0.3170306666;0.3847718024;1927779297.04;728409717.8;"2023-06-30T23:59:59.999Z"
"2023-05-01T00:00:00.000Z";"2023-05-31T23:59:59.999Z";"2023-05-01T00:52:00.000Z";"2023-05-12T19:29:00.000Z";0.5455363487;0.549800879;0.4378251976;0.4635079064;1612377468.81;870593705.34;"2023-05-31T23:59:59.999Z"
"2023-04-01T00:00:00.000Z";"2023-04-30T23:59:59.999Z";"2023-04-17T23:43:00.000Z";"2023-04-26T20:04:00.000Z";0.5886194708;0.6953783911;0.5228369513;0.5455918038;3222992250.72;1024769553.06;"2023-04-30T23:59:59.999Z"
"2023-03-01T00:00:00.000Z";"2023-03-31T23:59:59.999Z";"2023-03-18T04:01:00.000Z";"2023-03-10T10:46:00.000Z";0.6264992557;0.6780971801;0.4856981822;0.5886356998;2939935393.79;1091968781.39;"2023-03-31T23:59:59.999Z"
"2023-02-01T00:00:00.000Z";"2023-02-28T23:59:59.999Z";"2023-02-02T19:03:00.000Z";"2023-02-13T09:43:00.000Z";0.7504853393;0.8393422607;0.6199158805;0.6264877498;4570584475.54;1162187521.07;"2023-02-28T23:59:59.999Z"
"2023-01-01T00:00:00.000Z";"2023-01-31T23:59:59.999Z";"2023-01-30T00:02:00.000Z";"2023-01-01T07:38:00.000Z";0.297024257;0.8089410507;0.2918102939;0.7507379524;8903387716.18;1392682107.72;"2023-01-31T23:59:59.999Z"
"2022-12-01T00:00:00.000Z";"2022-12-31T23:59:59.999Z";"2022-12-05T08:36:00.000Z";"2022-12-30T07:34:00.000Z";0.4105006614;0.4273954593;0.2858589311;0.2970127343;1537825959.11;550983628.14;"2022-12-31T23:59:59.999Z"
