timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2023-11-01T00:00:00.000Z";"2023-11-30T23:59:59.999Z";"2023-11-27T01:14:00.000Z";"2023-11-01T15:57:00.000Z";"2781";48.8656491223;122.28371373;47.5867739526;107.7409630009;1552071062.42;405900857.95;"2023-11-30T23:59:59.999Z"
"2023-10-01T00:00:00.000Z";"2023-10-31T23:59:59.999Z";"2023-10-27T15:45:00.000Z";"2023-10-09T16:47:00.000Z";"2781";39.9520310433;51.3281947542;38.043459843;48.8713976939;226467682.19;178948161.52;"2023-10-31T23:59:59.999Z"
"2023-09-01T00:00:00.000Z";"2023-09-30T23:59:59.999Z";"2023-09-01T01:23:00.000Z";"2023-09-27T18:19:00.000Z";"2781";42.7056876547;42.8726032127;38.5463269174;39.9571081068;135117731.12;143822306.15;"2023-09-30T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-12T03:46:00.000Z";"2023-08-01T02:38:00.000Z";"2781";40.7063401642;54.3295571526;39.7207544006;42.7123674182;284766671.03;151419563.3;"2023-08-31T23:59:59.999Z"
"2023-07-01T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-03T19:55:00.000Z";"2023-07-08T22:25:00.000Z";"2781";45.8294262319;47.4030338671;38.8130375439;40.7050554411;174623887.75;142006800.89;"2023-07-31T23:59:59.999Z"
"2023-06-01T00:00:00.000Z";"2023-06-30T23:59:59.999Z";"2023-06-02T11:55:00.000Z";"2023-06-15T11:20:00.000Z";"2781";52.4998162622;56.8294391698;41.8145675675;45.8297347718;207413730.14;150946893.79;"2023-06-30T23:59:59.999Z"
"2023-05-01T00:00:00.000Z";"2023-05-31T23:59:59.999Z";"2023-05-31T18:27:00.000Z";"2023-05-12T06:22:00.000Z";"2781";51.6459914593;53.6959419352;43.7533572835;52.4998237814;187684721.25;165674671.55;"2023-05-31T23:59:59.999Z"
"2023-04-01T00:00:00.000Z";"2023-04-30T23:59:59.999Z";"2023-04-16T23:34:00.000Z";"2023-04-25T14:46:00.000Z";"2781";59.7940562512;66.4306269859;49.9529316982;51.6427834494;357311449.17;137647559.96;"2023-04-30T23:59:59.999Z"
"2023-03-01T00:00:00.000Z";"2023-03-31T23:59:59.999Z";"2023-03-02T00:08:00.000Z";"2023-03-27T20:19:00.000Z";"2781";75.8508042249;88.2975249144;55.1680419942;59.7979981439;732536699.55;148362104.38;"2023-03-31T23:59:59.999Z"
"2023-02-01T00:00:00.000Z";"2023-02-28T23:59:59.999Z";"2023-02-03T11:57:00.000Z";"2023-02-01T18:16:00.000Z";"2781";68.0899768194;106.4399604943;66.5492272074;75.8409399117;1012369535.87;172130985.49;"2023-02-28T23:59:59.999Z"
"2023-01-01T00:00:00.000Z";"2023-01-31T23:59:59.999Z";"2023-01-30T08:16:00.000Z";"2023-01-01T16:09:00.000Z";"2781";38.3598241884;73.5245375286;38.1218551541;68.0972984876;352689561.15;140103935.08;"2023-01-31T23:59:59.999Z"
"2022-12-01T00:00:00.000Z";"2022-12-31T23:59:59.999Z";"2022-12-04T12:41:00.000Z";"2022-12-30T12:34:00.000Z";"2781";42.2510695099;55.7949210682;38.2414948288;38.3706875875;287066119.65;75040746.14;"2022-12-31T23:59:59.999Z"
"2022-11-01T00:00:00.000Z";"2022-11-30T23:59:59.999Z";"2022-11-05T06:58:00.000Z";"2022-11-22T10:15:00.000Z";"2781";66.3717846797;67.3069062736;37.8748668078;42.199464509;226383142.56;72449976.05;"2022-11-30T23:59:59.999Z"
"2022-10-01T00:00:00.000Z";"2022-10-31T23:59:59.999Z";"2022-10-26T17:01:00.000Z";"2022-10-21T12:27:00.000Z";"2781";56.7743957873;80.7689816766;50.6238407239;66.3763574444;420448883.61;100216774.25;"2022-10-31T23:59:59.999Z"
"2022-09-01T00:00:00.000Z";"2022-09-30T23:59:59.999Z";"2022-09-01T14:01:00.000Z";"2022-09-21T22:20:00.000Z";"2781";77.6750991592;81.7816104821;52.7454283143;56.7724867048;328488650.72;36951004.19;"2022-09-30T23:59:59.999Z"
"2022-08-01T00:00:00.000Z";"2022-08-31T23:59:59.999Z";"2022-08-11T10:29:00.000Z";"2022-08-29T00:16:00.000Z";"2781";117.1772159053;124.1432879225;73.8216919623;77.6817582873;393176044.74;50560036.07;"2022-08-31T23:59:59.999Z"
"2022-07-01T00:00:00.000Z";"2022-07-31T23:59:59.999Z";"2022-07-16T17:28:00.000Z";"2022-07-13T13:34:00.000Z";"2781";140.8520894101;148.816060268;88.3380758335;117.1643102301;585813957.42;76257693.98;"2022-07-31T23:59:59.999Z"
"2022-06-01T00:00:00.000Z";"2022-06-30T23:59:59.999Z";"2022-06-06T15:01:00.000Z";"2022-06-18T20:56:00.000Z";"2781";299.1339268319;312.3285170849;133.336652855;140.7553787044;425634626.65;91612203.18;"2022-06-30T23:59:59.999Z"
"2022-05-01T00:00:00.000Z";"2022-05-31T23:59:59.999Z";"2022-05-05T02:52:00.000Z";"2022-05-27T18:51:00.000Z";"2781";453.6323049285;504.656247669;253.9666896527;299.3246175238;669816486.12;194818755.28;"2022-05-31T23:59:59.999Z"
"2022-04-01T00:00:00.000Z";"2022-04-30T23:59:59.999Z";"2022-04-05T12:38:00.000Z";"2022-04-30T23:51:00.000Z";"2781";615.936389762;672.0762434322;450.99101682;453.6398108784;601384861.44;295256514.59;"2022-04-30T23:59:59.999Z"
"2022-03-01T00:00:00.000Z";"2022-03-31T23:59:59.999Z";"2022-03-29T13:10:00.000Z";"2022-03-15T09:13:00.000Z";"2781";583.6908232226;665.5881395573;476.0260826705;615.9918533986;647157012.74;400878947.14;"2022-03-31T23:59:59.999Z"
"2022-02-01T00:00:00.000Z";"2022-02-28T23:59:59.999Z";"2022-02-10T11:37:00.000Z";"2022-02-24T07:37:00.000Z";"2781";607.9361100202;734.8181319769;468.9872570744;583.7143193762;775017357.14;375265247.67;"2022-02-28T23:59:59.999Z"
"2022-01-01T00:00:00.000Z";"2022-01-31T23:59:59.999Z";"2022-01-02T17:04:00.000Z";"2022-01-24T14:13:00.000Z";"2781";1017.600283866;1052.8818411584;498.4110582068;607.9571508996;943118927.58;390850769.34;"2022-01-31T23:59:59.999Z"
"2021-12-01T00:00:00.000Z";"2021-12-31T23:59:59.999Z";"2021-12-01T04:12:59.000Z";"2021-12-30T05:47:08.000Z";"2781";1846.8752296921;1924.7340710248;991.0693033562;1017.4087806961;1766132808.41;654083933.52;"2021-12-31T23:59:59.999Z"
