Date,Open,High,Low,Close,Volume
2015-08-07,2.831619978,3.5366098881,2.5211200714,2.7721199989,164329.0
2015-08-08,2.7937600613,2.7988100052,0.7147250175,0.7533249855,674188.0
2015-08-09,0.7061359882,0.8798099756,0.6291909814,0.7018970251,532170.0
2015-08-10,0.7139890194,0.7298539877,0.6365460157,0.7084479928,405283.0
2015-08-11,0.7080870271,1.1314100027,0.6632350087,1.0678600073,1463100.0
2015-08-12,1.0587500334,1.2899399996,0.8836079836,1.2174400091,2150620.0
2015-08-13,1.2222399712,1.9650700092,1.171990037,1.8276699781,4068680.0
2015-08-14,1.8109200001,2.261879921,1.7547500134,1.8278700113,4637030.0
2015-08-15,1.8028899431,1.8772399426,1.5709799528,1.6888999939,2554360.0
2015-08-16,1.6843500137,1.6952400208,1.0898100138,1.5660300255,3550790.0
2015-08-17,1.58118999,1.58118999,1.1853400469,1.2036099434,1942830.0
2015-08-18,1.215299964,1.3311599493,1.0870499611,1.0870499611,1485680.0
2015-08-19,1.1669299603,1.3179899454,1.1669299603,1.258859992,1486240.0
2015-08-20,1.2511800528,1.5333000422,1.2483299971,1.4649200439,2843760.0
2015-08-21,1.477519989,1.5564199686,1.3528000116,1.3952900171,2020970.0
2015-08-22,1.3962899446,1.4764100313,1.3526799679,1.3792300224,948310.0
2015-08-23,1.375,1.409700036,1.2977700233,1.3525899649,1589300.0
2015-08-24,1.3455899954,1.3627799749,1.2312699556,1.2312699556,924920.0
2015-08-25,1.2286100388,1.2418199778,1.12864995,1.1401900053,1307180.0
2015-08-26,1.1327899694,1.2024799585,1.0618300438,1.1599800587,1056750.0
2015-08-27,1.1698100567,1.188830018,1.1372900009,1.1476999521,686662.0
2015-08-28,1.147660017,1.2077900171,1.1204999685,1.191380024,721872.0
2015-08-29,1.1935299635,1.2072099447,1.1494899988,1.1825499535,375377.0
2015-08-30,1.1829899549,1.3679900169,1.170609951,1.3192700148,1337650.0
2015-08-31,1.3213800192,1.3961499929,1.2010099888,1.3582400084,1447180.0
2015-09-01,1.3534799814,1.3927400112,1.3366299868,1.3516099453,778862.0
2015-09-02,1.3515700102,1.3549100161,1.2646199465,1.2947900295,883769.0
2015-09-03,1.2951899767,1.3099900484,1.2110300064,1.2649300098,702991.0
2015-09-04,1.2649300098,1.3025200367,1.2368099689,1.2744100094,474391.0
2015-09-05,1.2805600166,1.3423000574,1.2711900473,1.338809967,448453.0
2015-09-06,1.3380099535,1.3736399412,1.2942500114,1.2958300114,491968.0
2015-09-07,1.2958999872,1.3054800034,1.2378499508,1.2466499805,489014.0
2015-09-08,1.2466499805,1.2823799849,1.230610013,1.2424299717,427892.0
2015-09-09,1.2393499613,1.2604800463,1.2018400431,1.2065099478,366748.0
2015-09-10,1.2076100111,1.221570015,1.1361500025,1.1657700539,662782.0
2015-09-11,1.1649700403,1.1690700054,0.9406750202,0.9829779863,1942600.0
2015-09-12,0.9872279763,1.1148899794,0.9697800279,1.0387400389,772430.0
2015-09-13,1.041779995,1.0427000523,0.9028319716,0.9360030293,644138.0
2015-09-14,0.9405660033,0.9493870139,0.8717600107,0.8756219745,741085.0
2015-09-15,0.8751890063,1.0455399752,0.8751890063,0.9444100261,703390.0
2015-09-16,0.9419770241,0.9526979923,0.9016389847,0.9071750045,615593.0
2015-09-17,0.9068650007,0.9092040062,0.8311319947,0.8742309809,897940.0
2015-09-18,0.8745740056,0.888101995,0.8339080215,0.8536850214,484622.0
2015-09-19,0.8496029973,0.9118829966,0.8337839842,0.882390976,386988.0
2015-09-20,0.8811910152,0.947740972,0.8732050061,0.938444972,508314.0
2015-09-21,0.9414960146,0.957325995,0.8783010244,0.919046998,424039.0
2015-09-22,0.9193369746,0.9193369746,0.8652250171,0.9017959833,487914.0
2015-09-23,0.9035599828,0.9089099765,0.8851360083,0.8934059739,200541.0
2015-09-24,0.8967959881,0.9085710049,0.7934600115,0.8136100173,842505.0
2015-09-25,0.8200309873,0.8256649971,0.7127450109,0.7362229824,903457.0
2015-09-26,0.7376300097,0.7875440121,0.7093279958,0.7859640121,369620.0
2015-09-27,0.7912769914,0.7912769914,0.7191690207,0.7208390236,413801.0
2015-09-28,0.7237150073,0.7256770134,0.5570619702,0.5828859806,1320890.0
2015-09-29,0.57941401,0.6758300066,0.5583459735,0.6611459851,913992.0
2015-09-30,0.6611919999,0.746721983,0.6358609796,0.7386440039,619926.0
2015-10-01,0.7343069911,0.7343069911,0.6559060216,0.6902149916,596084.0
2015-10-02,0.6837319732,0.6911200285,0.6546049714,0.6785740256,219318.0
2015-10-03,0.6787829995,0.7092040181,0.6754819751,0.6871709824,163326.0
2015-10-04,0.6863430142,0.6931260228,0.6607159972,0.6683790088,103497.0
2015-10-05,0.6667839885,0.6744379997,0.6244500279,0.6286429763,234263.0
2015-10-06,0.6222180128,0.6539440155,0.6062300205,0.6506450176,262674.0
2015-10-07,0.6505150199,0.6563010216,0.6024230123,0.6093879938,218327.0
2015-10-08,0.6095010042,0.633138001,0.5919709802,0.6217160225,310266.0
2015-10-09,0.6550840139,0.6922960281,0.6321160197,0.6506279707,386420.0
2015-10-10,0.6411870122,0.6490219831,0.6243739724,0.6278570294,141555.0
2015-10-11,0.6274610162,0.6395059824,0.6183350086,0.634962976,102128.0
2015-10-12,0.6345149875,0.6577889919,0.6260300279,0.6260300279,109567.0
2015-10-13,0.6279429793,0.6302400231,0.5992140174,0.6076549888,303044.0
2015-10-14,0.6122400165,0.6122400165,0.4839740098,0.5229679942,971664.0
2015-10-15,0.523277998,0.5727139711,0.5147299767,0.5618780255,371022.0
2015-10-16,0.5625929832,0.5688610077,0.5225329995,0.5364949703,249891.0
2015-10-17,0.5341169834,0.5634599924,0.5269610286,0.5471779704,313860.0
2015-10-18,0.5479130149,0.552233994,0.5128610134,0.5177339911,133690.0
2015-10-19,0.5176209807,0.5215460062,0.4809939861,0.4890139997,243742.0
2015-10-20,0.4896290004,0.5018979907,0.4316479862,0.4348289967,383921.0
2015-10-21,0.4315890074,0.4829879999,0.420897007,0.4473290145,609085.0
2015-10-22,0.4449880123,0.6194660068,0.4209910035,0.5677019954,924822.0
2015-10-23,0.5663700104,0.6117429733,0.5042840242,0.5396569967,878822.0
2015-10-24,0.5396810174,0.5773959756,0.5186880231,0.5635899901,258356.0
2015-10-25,0.5632069707,0.6881920099,0.561383009,0.6160389781,635384.0
2015-10-26,0.6197429895,0.7575169802,0.5970979929,0.7313169837,1089120.0
2015-10-27,0.7088900208,0.8981720209,0.7088900208,0.869641006,1846370.0
2015-10-28,0.8709380031,1.0557899475,0.807856977,1.0024800301,2373050.0
2015-10-29,1.0052499771,1.2066600323,0.9473739862,1.2066600323,2279240.0
2015-10-30,1.2092000246,1.3450499773,0.9681599736,1.0412199497,2429200.0
2015-10-31,1.046579957,1.0563800335,0.9001709819,0.9166269898,673892.0
2015-11-01,0.9208469987,1.0767400265,0.899082005,1.055670023,588913.0
2015-11-02,1.057970047,1.0997899771,0.9536470175,0.9897890091,1145200.0
2015-11-03,0.9945679903,1.0704400539,0.9366149902,1.0133600235,1907690.0
2015-11-04,1.0106500387,1.0387200117,0.7256649733,0.8990499973,3060340.0
2015-11-05,0.9006990194,0.9912589788,0.8603820205,0.8956369758,1179840.0
2015-11-06,0.9047719836,0.9898480177,0.8529289961,0.9260320067,913666.0
2015-11-07,0.9237319827,0.9437869787,0.8635389805,0.9279739857,890187.0
2015-11-08,0.9156609774,1.0326800346,0.9156609774,1.0274699926,1021460.0
2015-11-09,1.0325299501,1.1064200401,0.9452630281,0.9992780089,2045290.0
2015-11-10,1.0012600422,1.0530400276,0.9209679961,0.9343479872,854581.0
2015-11-11,0.9412959814,0.9452779889,0.7297750115,0.79182899,1278580.0
2015-11-12,0.7964550257,0.913918972,0.7635099888,0.8957110047,806156.0
2015-11-13,0.9077219963,0.9173089862,0.8460230231,0.9040960073,543671.0
2015-11-14,0.9054690003,0.9061130285,0.8769080043,0.8888120055,372514.0
2015-11-15,0.8912169933,0.9215160012,0.8749570251,0.9063680172,411848.0
2015-11-16,0.9061660171,0.9447320104,0.8919709921,0.9289619923,620945.0
2015-11-17,0.9249479771,1.0329500437,0.9057940245,1.0079799891,1145440.0
2015-11-18,0.9932140112,1.0115699768,0.940515995,0.993318975,681104.0
2015-11-19,0.988713026,1.0079699755,0.9374979734,0.9555320144,443528.0
2015-11-20,0.9557350278,0.9557350278,0.8985760212,0.9249200225,614335.0
2015-11-21,0.9287580252,0.9787430167,0.9209399819,0.9761400223,455976.0
2015-11-22,0.979764998,0.9841319919,0.9589819908,0.9680179954,372173.0
2015-11-23,0.9674929976,0.9690570235,0.9338700175,0.9469689727,441875.0
2015-11-24,0.946442008,0.9480550289,0.8959310055,0.900191009,524195.0
2015-11-25,0.8938270211,0.899492979,0.851105988,0.8635370135,622991.0
2015-11-26,0.8632730246,0.903643012,0.8043599725,0.8841829896,947473.0
2015-11-27,0.8820999861,0.9000509977,0.8606950045,0.8679509759,403813.0
2015-11-28,0.8681020141,0.9292929769,0.8621219993,0.9157029986,462464.0
2015-11-29,0.9141439795,0.9141529799,0.860532999,0.8786140084,448358.0
2015-11-30,0.8799510002,0.8950539827,0.8476960063,0.8731189966,784439.0
