Date,Open,High,Low,Close,Volume
07-08-2015,2.831619978,3.536609888,2.521120071,2.772119999,164329
08-08-2015,2.793760061,2.798810005,0.714725018,0.753324986,674188
09-08-2015,0.706135988,0.879809976,0.629190981,0.701897025,532170
10-08-2015,0.713989019,0.729853988,0.636546016,0.708447993,405283
11-08-2015,0.708087027,1.131410003,0.663235009,1.067860007,1463100
12-08-2015,1.058750033,1.28994,0.883607984,1.217440009,2150620
13-08-2015,1.222239971,1.965070009,1.171990037,1.827669978,4068680
14-08-2015,1.81092,2.261879921,1.754750013,1.827870011,4637030
15-08-2015,1.802889943,1.877239943,1.570979953,1.688899994,2554360
16-08-2015,1.684350014,1.695240021,1.089810014,1.566030026,3550790
17-08-2015,1.58118999,1.58118999,1.185340047,1.203609943,1942830
18-08-2015,1.215299964,1.331159949,1.087049961,1.087049961,1485680
19-08-2015,1.16692996,1.317989945,1.16692996,1.258859992,1486240
20-08-2015,1.251180053,1.533300042,1.248329997,1.464920044,2843760
21-08-2015,1.477519989,1.556419969,1.352800012,1.395290017,2020970
22-08-2015,1.396289945,1.476410031,1.352679968,1.379230022,948310
23-08-2015,1.375,1.409700036,1.297770023,1.352589965,1589300
24-08-2015,1.345589995,1.362779975,1.231269956,1.231269956,924920
25-08-2015,1.228610039,1.241819978,1.12864995,1.140190005,1307180
26-08-2015,1.132789969,1.202479959,1.061830044,1.159980059,1056750
27-08-2015,1.169810057,1.188830018,1.137290001,1.147699952,686662
28-08-2015,1.147660017,1.207790017,1.120499969,1.191380024,721872
29-08-2015,1.193529964,1.207209945,1.149489999,1.182549954,375377
30-08-2015,1.182989955,1.367990017,1.170609951,1.319270015,1337650
31-08-2015,1.321380019,1.396149993,1.201009989,1.358240008,1447180
01-09-2015,1.353479981,1.392740011,1.336629987,1.351609945,778862
02-09-2015,1.35157001,1.354910016,1.264619947,1.29479003,883769
03-09-2015,1.295189977,1.309990048,1.211030006,1.26493001,702991
04-09-2015,1.26493001,1.302520037,1.236809969,1.274410009,474391
05-09-2015,1.280560017,1.342300057,1.271190047,1.338809967,448453
06-09-2015,1.338009954,1.373639941,1.294250011,1.295830011,491968
07-09-2015,1.295899987,1.305480003,1.237849951,1.246649981,489014
08-09-2015,1.246649981,1.282379985,1.230610013,1.242429972,427892
09-09-2015,1.239349961,1.260480046,1.201840043,1.206509948,366748
10-09-2015,1.207610011,1.221570015,1.136150003,1.165770054,662782
11-09-2015,1.16497004,1.169070005,0.94067502,0.982977986,1942600
12-09-2015,0.987227976,1.114889979,0.969780028,1.038740039,772430
13-09-2015,1.041779995,1.042700052,0.902831972,0.936003029,644138
14-09-2015,0.940566003,0.949387014,0.871760011,0.875621975,741085
15-09-2015,0.875189006,1.045539975,0.875189006,0.944410026,703390
16-09-2015,0.941977024,0.952697992,0.901638985,0.907175005,615593
17-09-2015,0.906865001,0.909204006,0.831131995,0.874230981,897940
18-09-2015,0.874574006,0.888101995,0.833908022,0.853685021,484622
19-09-2015,0.849602997,0.911882997,0.833783984,0.882390976,386988
20-09-2015,0.881191015,0.947740972,0.873205006,0.938444972,508314
21-09-2015,0.941496015,0.957325995,0.878301024,0.919046998,424039
22-09-2015,0.919336975,0.919336975,0.865225017,0.901795983,487914
23-09-2015,0.903559983,0.908909977,0.885136008,0.893405974,200541
24-09-2015,0.896795988,0.908571005,0.793460012,0.813610017,842505
25-09-2015,0.820030987,0.825664997,0.712745011,0.736222982,903457
26-09-2015,0.73763001,0.787544012,0.709327996,0.785964012,369620
27-09-2015,0.791276991,0.791276991,0.719169021,0.720839024,413801
28-09-2015,0.723715007,0.725677013,0.55706197,0.582885981,1320890
29-09-2015,0.57941401,0.675830007,0.558345974,0.661145985,913992
30-09-2015,0.661192,0.746721983,0.63586098,0.738644004,619926
01-10-2015,0.734306991,0.734306991,0.655906022,0.690214992,596084
02-10-2015,0.683731973,0.691120029,0.654604971,0.678574026,219318
03-10-2015,0.678783,0.709204018,0.675481975,0.687170982,163326
04-10-2015,0.686343014,0.693126023,0.660715997,0.668379009,103497
05-10-2015,0.666783989,0.674438,0.624450028,0.628642976,234263
06-10-2015,0.622218013,0.653944016,0.606230021,0.650645018,262674
07-10-2015,0.65051502,0.656301022,0.602423012,0.609387994,218327
08-10-2015,0.609501004,0.633138001,0.59197098,0.621716023,310266
09-10-2015,0.655084014,0.692296028,0.63211602,0.650627971,386420
10-10-2015,0.641187012,0.649021983,0.624373972,0.627857029,141555
11-10-2015,0.627461016,0.639505982,0.618335009,0.634962976,102128
12-10-2015,0.634514988,0.657788992,0.626030028,0.626030028,109567
13-10-2015,0.627942979,0.630240023,0.599214017,0.607654989,303044
14-10-2015,0.612240017,0.612240017,0.48397401,0.522967994,971664
15-10-2015,0.523277998,0.572713971,0.514729977,0.561878026,371022
16-10-2015,0.562592983,0.568861008,0.522533,0.53649497,249891
17-10-2015,0.534116983,0.563459992,0.526961029,0.54717797,313860
18-10-2015,0.547913015,0.552233994,0.512861013,0.517733991,133690
19-10-2015,0.517620981,0.521546006,0.480993986,0.489014,243742
20-10-2015,0.489629,0.501897991,0.431647986,0.434828997,383921
21-10-2015,0.431589007,0.482988,0.420897007,0.447329015,609085
22-10-2015,0.444988012,0.619466007,0.420991004,0.567701995,924822
23-10-2015,0.56637001,0.611742973,0.504284024,0.539656997,878822
24-10-2015,0.539681017,0.577395976,0.518688023,0.56358999,258356
25-10-2015,0.563206971,0.68819201,0.561383009,0.616038978,635384
26-10-2015,0.61974299,0.75751698,0.597097993,0.731316984,1089120
