Date,Open,High,Low,Close,Volume
2023-12-27 00:00:00+00:00,2231.3931405894,2392.6087070854,2215.1403196423,2378.7401102717,14161342927.24
2023-12-26 00:00:00+00:00,2272.2188227916,2274.5572615042,2180.2254633897,2231.4653358627,10668581463.59
2023-12-25 00:00:00+00:00,2265.3405804105,2303.5511073189,2254.5745613704,2272.5616672175,8036302656.28
2023-12-24 00:00:00+00:00,2309.6266415076,2325.7050798756,2249.984408998,2265.6921427011,9450799235.72
2023-12-23 00:00:00+00:00,2326.7158695529,2332.071915329,2270.4288723176,2309.0463748006,7995772944.94
2023-12-22 00:00:00+00:00,2239.5982521181,2341.9474073193,2233.5326622869,2326.5249573928,16137246309.76
2023-12-21 00:00:00+00:00,2201.7900766246,2278.1215683025,2184.8566786245,2239.5424133212,12616530536.39
2023-12-20 00:00:00+00:00,2177.2395157566,2263.3292183872,2161.2186850736,2201.9114564016,12652290806.57
2023-12-19 00:00:00+00:00,2218.2410067892,2253.3488607028,2139.7232949491,2177.8726106679,10619179628.95
2023-12-18 00:00:00+00:00,2195.3417231001,2222.0192544408,2120.1274691857,2217.2733489138,10366536489.75
2023-12-17 00:00:00+00:00,2226.8924781312,2244.366451126,2195.7617894529,2196.4811590731,7410453853.39
2023-12-16 00:00:00+00:00,2220.4155723384,2260.8097238347,2213.5508467626,2226.9265198074,6866555429.62
2023-12-15 00:00:00+00:00,2316.110422609,2316.8929392602,2214.2631579525,2219.3373100011,10259157898.15
2023-12-14 00:00:00+00:00,2260.7359881357,2331.6015337999,2239.3661680482,2316.5790072611,12608711052.34
2023-12-13 00:00:00+00:00,2202.60034816,2283.0992424614,2150.7542852783,2260.6487681131,12576395493.06
2023-12-12 00:00:00+00:00,2224.3909929939,2242.5512479037,2166.7700992092,2202.0379684959,11391132227.58
2023-12-11 00:00:00+00:00,2352.4966779452,2354.9140095655,2160.3581019847,2224.5787846632,17989249470.29
2023-12-10 00:00:00+00:00,2341.4401694091,2376.749858217,2323.4057080289,2352.4627556082,7369608904.74
2023-12-09 00:00:00+00:00,2358.6860098396,2401.7604258408,2331.666003415,2341.1752332393,10613312822.78
2023-12-08 00:00:00+00:00,2357.16929613,2387.5143809928,2340.9204219967,2358.7319393053,12543458699.27
