slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
decentraland,MANA,Decentraland MANA,11/30/2023,3,0.363887189,0.502220048,0.352560328,0.432089708,3187034747,817987026.1,0.531401369,0.149659719
decentraland,MANA,Decentraland MANA,10/31/2023,3,0.309157188,0.388109358,0.272928332,0.363879356,1382418398,688858324.4,0.789635476,0.115181026
decentraland,MANA,Decentraland MANA,09/30/2023,3,0.294349097,0.322948038,0.266219808,0.309167157,1045395828,585282913,0.757071898,0.05672823
decentraland,MANA,Decentraland MANA,08/31/2023,3,0.382297582,0.386824703,0.284470148,0.294340675,1394553356,557214969.2,0.096434661,0.102354555
decentraland,MANA,Decentraland MANA,07/31/2023,3,0.384772803,0.445217072,0.370135443,0.382287941,1431430260,723707531.3,0.161857149,0.07508163
decentraland,MANA,Decentraland MANA,06/30/2023,3,0.463478102,0.531359354,0.317030667,0.384771802,1927779297,728409717.8,0.316061917,0.214328688
decentraland,MANA,Decentraland MANA,05/31/2023,3,0.545536349,0.549800879,0.437825198,0.463507906,1612377469,870593705.3,0.229359701,0.111975681
decentraland,MANA,Decentraland MANA,04/30/2023,3,0.588619471,0.695378391,0.522836951,0.545591804,3222992251,1024769553,0.131880507,0.17254144
decentraland,MANA,Decentraland MANA,03/31/2023,3,0.626499256,0.67809718,0.485698182,0.5886357,2939935394,1091968781,0.535021069,0.192398998
decentraland,MANA,Decentraland MANA,02/28/2023,3,0.750485339,0.839342261,0.619915881,0.62648775,4570584476,1162187521,0.029950224,0.21942638
decentraland,MANA,Decentraland MANA,01/31/2023,3,0.297024257,0.808941051,0.291810294,0.750737952,8903387716,1392682108,0.887449939,0.517130757
decentraland,MANA,Decentraland MANA,12/31/2022,3,0.410500661,0.427395459,0.285858931,0.297012734,1537825959,550983628.1,0.078805121,0.141536528
decentraland,MANA,Decentraland MANA,11/30/2022,3,0.672780464,0.740617449,0.358162043,0.410415272,3649893195,761354883.6,0.136625678,0.382455406
decentraland,MANA,Decentraland MANA,10/31/2022,3,0.698128392,0.726915889,0.586172207,0.672861139,3561696383,1248214063,0.615934804,0.140743682
decentraland,MANA,Decentraland MANA,09/30/2022,3,0.773013645,0.827149446,0.6729539,0.698141097,4126072835,1295110512,0.163345809,0.154195546
decentraland,MANA,Decentraland MANA,08/31/2022,3,0.976498689,1.126482336,0.744870381,0.772974491,5766419852,1431864439,0.073645782,0.381611955
decentraland,MANA,Decentraland MANA,07/31/2022,3,0.88028363,1.089989351,0.762089475,0.976684025,7554327904,1809244451,0.654451454,0.327899876
decentraland,MANA,Decentraland MANA,06/30/2022,3,1.08605465,1.090680624,0.731359874,0.879234446,7475313601,1625894880,0.411539193,0.35932075
decentraland,MANA,Decentraland MANA,05/31/2022,3,1.430232691,1.674340037,0.630658944,1.08580841,13677691389,2002316275,0.436100135,1.043681092
decentraland,MANA,Decentraland MANA,04/30/2022,3,2.610441711,2.762725697,1.362520858,1.430102297,8623557707,2634925253,0.048265394,1.40020484
decentraland,MANA,Decentraland MANA,03/31/2022,3,2.844407705,2.920341107,2.23137733,2.609434839,13847623589,4803465051,0.548733506,0.688963778
decentraland,MANA,Decentraland MANA,02/28/2022,3,2.825705702,3.535259322,2.206843768,2.843970132,26222923320,5210488582,0.479613749,1.328415554
decentraland,MANA,Decentraland MANA,01/31/2022,3,3.271581192,3.426176088,1.741920221,2.826871092,19584228583,5157621883,0.644172238,1.684255868
decentraland,MANA,Decentraland MANA,12/31/2021,3,4.64467705,4.81958155,2.624085882,3.270670915,34211096000,5967477220,0.294505265,2.195495669
decentraland,MANA,Decentraland MANA,11/30/2021,3,2.888525175,5.90231719,2.229021876,4.635049693,1.03861E+11,8457166061,0.655005278,3.673295314
decentraland,MANA,Decentraland MANA,10/31/2021,3,0.689573743,4.691107901,0.680542824,2.892260384,49913035495,5255062400,0.551472802,4.010565076
decentraland,MANA,Decentraland MANA,09/30/2021,3,0.94338807,1.07942773,0.601800273,0.688231502,4209747499,1250499222,0.180959508,0.477627457
decentraland,MANA,Decentraland MANA,08/31/2021,3,0.71752455,1.10580236,0.66341201,0.94317296,6598035833,1693350608,0.632384838,0.44239035
decentraland,MANA,Decentraland MANA,07/31/2021,3,0.58001889,0.84592679,0.49494811,0.71919175,6045616935,1215898543,0.638909577,0.35097868
decentraland,MANA,Decentraland MANA,06/30/2021,3,0.84947224,0.90365748,0.37371735,0.58002303,2051440863,916631748.6,0.389299976,0.52994013
decentraland,MANA,Decentraland MANA,05/31/2021,3,1.48775911,1.60180573,0.49184814,0.85073315,6797187167,1344557643,0.323332182,1.10995759
decentraland,MANA,Decentraland MANA,04/30/2021,3,1.02811788,1.63488533,0.83992007,1.48679937,11780021093,2346303096,0.813720212,0.79496526
decentraland,MANA,Decentraland MANA,03/31/2021,3,0.23631171,1.18921382,0.23631171,1.02742616,19568756211,1621423362,0.830215866,0.95290211
decentraland,MANA,Decentraland MANA,02/28/2021,3,0.15478104,0.36709398,0.14519656,0.23622609,4208518444,371947132.2,0.410232485,0.22189742
decentraland,MANA,Decentraland MANA,01/31/2021,3,0.07824546,0.20162143,0.07623061,0.15470521,4518235439,237323555.3,0.625840073,0.12539082
decentraland,MANA,Decentraland MANA,12/31/2020,3,0.08805522,0.09945205,0.07032501,0.07825147,580482422.8,116107505.1,0.272134072,0.02912704
decentraland,MANA,Decentraland MANA,11/30/2020,3,0.06520871,0.11078924,0.05971242,0.08805237,889389654.9,130652889.9,0.554849538,0.05107682
decentraland,MANA,Decentraland MANA,10/31/2020,3,0.0839297,0.08681267,0.06095005,0.06520871,801245281.2,96774833.01,0.164664678,0.02586262
decentraland,MANA,Decentraland MANA,09/30/2020,3,0.09137233,0.10388668,0.06633018,0.08384073,1636862378,122620196,0.466245523,0.0375565
