timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2023-12-27T00:00:00.000Z";"2023-12-27T23:59:59.999Z";"2023-12-27T23:18:00.000Z";"2023-12-27T03:33:00.000Z";"2781";2231.3931405894;2392.6087070854;2215.1403196423;2378.7401102717;14161342927.24;285887329802.57;"2023-12-27T23:59:59.999Z"
"2023-12-26T00:00:00.000Z";"2023-12-26T23:59:59.999Z";"2023-12-26T02:45:00.000Z";"2023-12-26T17:40:00.000Z";"2781";2272.2188227916;2274.5572615042;2180.2254633897;2231.4653358627;10668581463.59;268186204200.48;"2023-12-26T23:59:59.999Z"
"2023-12-25T00:00:00.000Z";"2023-12-25T23:59:59.999Z";"2023-12-25T13:03:00.000Z";"2023-12-25T00:44:00.000Z";"2781";2265.3405804105;2303.5511073189;2254.5745613704;2272.5616672175;8036302656.28;273125381791.39;"2023-12-25T23:59:59.999Z"
"2023-12-24T00:00:00.000Z";"2023-12-24T23:59:59.999Z";"2023-12-24T02:27:00.000Z";"2023-12-24T22:51:00.000Z";"2781";2309.6266415076;2325.7050798756;2249.984408998;2265.6921427011;9450799235.72;272299442735.23;"2023-12-24T23:59:59.999Z"
"2023-12-23T00:00:00.000Z";"2023-12-23T23:59:59.999Z";"2023-12-23T00:14:00.000Z";"2023-12-23T04:11:00.000Z";"2781";2326.7158695529;2332.071915329;2270.4288723176;2309.0463748006;7995772944.94;277509810111.47;"2023-12-23T23:59:59.999Z"
"2023-12-22T00:00:00.000Z";"2023-12-22T23:59:59.999Z";"2023-12-22T18:24:00.000Z";"2023-12-22T02:30:00.000Z";"2781";2239.5982521181;2341.9474073193;2233.5326622869;2326.5249573928;16137246309.76;279613363296.36;"2023-12-22T23:59:59.999Z"
"2023-12-21T00:00:00.000Z";"2023-12-21T23:59:59.999Z";"2023-12-21T12:23:00.000Z";"2023-12-21T01:14:00.000Z";"2781";2201.7900766246;2278.1215683025;2184.8566786245;2239.5424133212;12616530536.39;269163758201.48;"2023-12-21T23:59:59.999Z"
"2023-12-20T00:00:00.000Z";"2023-12-20T23:59:59.999Z";"2023-12-20T14:35:00.000Z";"2023-12-20T20:09:00.000Z";"2781";2177.2395157566;2263.3292183872;2161.2186850736;2201.9114564016;12652290806.57;260958704556.96;"2023-12-20T23:59:59.999Z"
"2023-12-19T00:00:00.000Z";"2023-12-19T23:59:59.999Z";"2023-12-19T08:17:00.000Z";"2023-12-19T17:59:00.000Z";"2781";2218.2410067892;2253.3488607028;2139.7232949491;2177.8726106679;10619179628.95;261766972878.51;"2023-12-19T23:59:59.999Z"
"2023-12-18T00:00:00.000Z";"2023-12-18T23:59:59.999Z";"2023-12-18T23:07:00.000Z";"2023-12-18T10:36:00.000Z";"2781";2195.3417231001;2222.0192544408;2120.1274691857;2217.2733489138;10366536489.75;266511575365.26;"2023-12-18T23:59:59.999Z"
